StudyID,StudyID_display,Year,Age_Group,Subgroup,Device_Brand,Device_Type,Country,Sampling_Rate_Hz,Sleep_Measurement_Type,Behavior,Mean_Type,Minutes
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Normal weight girls,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,MVPA,Geometric,57.0
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Overweight girls,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,Sleep,Arithmetic,
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Overweight girls,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,Sleep,Geometric,562.0
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Overweight girls,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,SB,Arithmetic,
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Overweight girls,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,SB,Geometric,526.0
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Overweight girls,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,LPA,Arithmetic,
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Overweight girls,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,LPA,Geometric,298.0
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Overweight girls,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,MVPA,Arithmetic,
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Overweight girls,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,MVPA,Geometric,54.0
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Obese girls,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,Sleep,Arithmetic,
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Obese girls,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,Sleep,Geometric,543.0
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Obese girls,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,SB,Arithmetic,
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Obese girls,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,SB,Geometric,545.0
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Obese girls,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,LPA,Arithmetic,
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Obese girls,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,LPA,Geometric,307.0
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Obese girls,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,MVPA,Arithmetic,
"Dumuid, Stanford, Pedi_i_ (2018)","Dumuid, Stanford, Pedi_i_ (2018)",2018,Children,Obese girls,Actigraph,Accelorometer,"Australia, Canada, United Kingdom, Finland",NR,Objective only,MVPA,Geometric,45.0
